Latitude: 43.03  Longitude: -102.56
X & Y on Lambert Conformal Conic: -198902.79 59191.69
Tile: 11919
Elevation: 984 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2020,1,0.00,5.25,-5.64
2020,2,0.00,3.72,-3.76
2020,3,0.00,1.92,-5.40
2020,4,0.00,7.58,-4.02
2020,5,0.00,3.64,-4.24
2020,6,0.00,4.38,-6.78
2020,7,0.00,6.11,-6.32
2020,8,0.00,5.30,-6.31
2020,9,0.00,2.60,-7.03
2020,10,0.70,-4.32,-15.38
2020,11,0.00,0.97,-13.96
2020,12,0.00,3.90,-11.30
2020,13,0.00,5.30,-11.41
2020,14,0.00,0.61,-14.75
2020,15,0.00,-6.78,-17.18
2020,16,0.00,3.37,-12.67
2020,17,0.64,3.72,-11.49
2020,18,0.00,1.36,-12.75
2020,19,0.00,3.48,-13.14
2020,20,0.00,4.65,-11.66
2020,21,0.00,7.82,-5.60
2020,22,6.01,5.62,-3.75
2020,23,0.00,3.97,-6.42
2020,24,0.00,6.41,-8.59
2020,25,0.00,7.97,-3.42
2020,26,0.00,6.26,-4.53
2020,27,1.77,2.64,-3.89
2020,28,0.00,4.44,-5.11
2020,29,0.00,4.39,-6.08
2020,30,0.76,3.68,-5.26
2020,31,0.00,6.17,-7.24
